threshold_dbfs,file,sample_rate,channels,audio_duration_sec,event_index,event_start_sec,event_end_sec,event_duration_sec,active_start_sec,active_end_sec,rms_max_dbfs,rms_mean_dbfs
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18536__2017-09-13__debbd04657.wav,44100,1,210.833,9,203.481,210.833,7.352,206.481,209.106,-23.65,-26.26
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,1,0.0,10.999,10.999,1.875,5.999,-20.93,-24.97
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,2,57.994,67.119,9.125,60.994,62.119,-27.76,-29.25
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,3,69.993,78.618,8.625,72.993,73.618,-29.7,-32.14
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,4,103.74,112.49,8.75,106.74,107.49,-33.56,-34.17
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,5,121.114,148.862,27.748,124.114,143.862,-28.71,-32.7
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,6,163.36,173.36,10.0,166.36,168.36,-32.5,-33.27
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,7,175.984,186.734,10.75,178.984,181.734,-33.05,-33.78
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18537__2017-09-13__161164b5c4.wav,44100,1,198.214,8,187.358,196.233,8.875,190.358,191.233,-34.55,-34.68
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18538__2017-09-13__ea817d6aa3.wav,44100,1,107.874,1,0.0,35.247,35.247,1.875,30.247,-20.93,-30.56
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18538__2017-09-13__ea817d6aa3.wav,44100,1,107.874,2,35.746,81.743,45.997,38.746,76.743,-25.38,-28.24
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18538__2017-09-13__ea817d6aa3.wav,44100,1,107.874,3,83.492,107.874,24.382,86.492,106.74,-25.7,-28.07
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18539__2017-09-16__286bd51ef7.wav,44100,1,84.132,1,0.0,60.0,60.0,1.875,60.0,-20.67,-23.42
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18539__2017-09-16__286bd51ef7.wav,44100,1,84.132,2,60.0,84.132,24.132,60.0,82.992,-20.67,-23.42
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18540__2017-09-18__e54d014911.wav,44100,1,178.089,1,0.0,10.874,10.874,1.875,5.874,-20.42,-24.66
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18540__2017-09-18__e54d014911.wav,44100,1,178.089,2,43.121,77.993,34.873,46.121,72.993,-18.67,-32.11
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18540__2017-09-18__e54d014911.wav,44100,1,178.089,3,80.367,105.491,25.123,83.367,100.491,-28.15,-32.99
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18540__2017-09-18__e54d014911.wav,44100,1,178.089,4,113.614,137.113,23.499,116.614,132.113,-19.43,-30.46
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18540__2017-09-18__e54d014911.wav,44100,1,178.089,5,141.487,165.86,24.374,144.487,160.86,-21.95,-29.33
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18540__2017-09-18__e54d014911.wav,44100,1,178.089,6,170.234,178.089,7.854,173.234,175.984,-23.55,-25.9
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18541__2017-09-19__ee5a77bdce.wav,44100,1,27.516,1,0.0,27.516,27.516,1.875,24.123,-20.42,-26.85
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18542__2017-09-19__89e6055611.wav,44100,1,117.064,1,0.0,10.999,10.999,1.875,5.999,-20.42,-25.19
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18542__2017-09-19__89e6055611.wav,44100,1,117.064,2,36.371,46.621,10.25,39.371,41.621,-31.15,-32.19
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18542__2017-09-19__89e6055611.wav,44100,1,117.064,3,51.12,61.495,10.375,54.12,56.495,-26.45,-31.13
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18542__2017-09-19__89e6055611.wav,44100,1,117.064,4,63.244,82.368,19.124,66.244,77.368,-30.86,-33.28
-35.0,Andinobates_daleswansoni/Andinobates_daleswansoni__IAvH-CSA-18542__2017-09-19__89e6055611.wav,44100,1,117.064,5,83.117,93.617,10.5,86.117,88.617,-30.52,-32.18
